index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,steps,llm_calls,generated_tokens,stop_reason,anytime_answer,anytime_answer_score,anytime_answer_source,best_node_type,best_node_id,run_dir
0,0,"Which television series featured an actor who also performed in ""The Young Ones""?","""The Comic Strip Presents...""",Filthy Rich &amp; Catflap,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,9,1051,anytime_token_guard,Carole Gray,0.9269862845936957,grounded,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/000_0
1,1,The Dogwoman telemovies were created by an actress born in what year?,1961,1961,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,5,8,596,frontier_empty,1961,0.8593033846215457,expansion_candidate,state,state_3,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/001_1
2,2,"Which English actor, comedian and singer is featured in Chalk and Cheese?",Michael Patrick Smith,Michael Crawford,0,0,0.4,0.4,0.0,0.4,0.303265,0.0,0.0,0.0,0.344828,0,9,15,932,final_synthesis_reserve,Michael Crawford,0.8813185958418193,final_synthesis,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/002_2
3,3,What type of publication does St. Anthony Messenger and Revolver have in common?,magazine,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,12,983,final_synthesis_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/003_3
4,4,"Michael Pollock was was a senior officer in the United Kingdom's naval warfare force, also known as the what?",Royal Navy,Senior Service,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,4,214,llm_stop_with_root_memory,Royal Navy,0.9293304292503249,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/004_4
5,5,M.F.A. starred the actress known for starring in what E! reality series?,Mrs. Eastwood & Company,Francesca Eastwood,0,0,0.4,0.4,0.0,0.4,0.303265,0.0,0.0,0.0,0.344828,0,3,5,520,frontier_empty,Francesca Eastwood,0.9485415132305391,grounded,state,state_3,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/005_5
6,6,"who were James Hill and John Vereker, 6th Viscount Gort officers for?",British Army,British Expeditionary Force,0,0,0.4,0.4,0.0,0.4,0.333333,0.0,0.0,0.0,0.47619,0,2,5,431,high_confidence_root_memory,British Expeditionary Force,0.8735999973358682,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/006_6
7,7,"Which band was formed first, Lit or Adorable?",Adorable,Adorable,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,8,14,1082,final_synthesis_reserve,Adorable,0.9612507598205179,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/007_7
8,8,Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million,2,0,1,0.5,0.5,0.0,0.5,0.135335,0.0,0.0,0.0,0.357143,0,3,7,516,frontier_empty,2,0.8547658840633272,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/008_8
9,9,"Peter Marc Jacobson is best known as the co-creator of the popular sitcom ""The Nanny"", which he created and wrote with his then wife an actress born in which year ?",1957,1957,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,4,7,610,frontier_empty,1957,0.768430530510351,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_random100_seed1962_20260510_034248/runs/009_9
