index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,steps,llm_calls,generated_tokens,stop_reason,anytime_answer,anytime_answer_score,anytime_answer_source,best_node_type,best_node_id,run_dir
0,0,Which post DC Extended Universe actress will also play a role in what is intended to be the fifth installment of the DC Extended Universe?,Gal Gadot,Gal Gadot,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,5,9,921,final_synthesis_reserve,Justice League (film),0.9232845344985592,grounded,memory,memory_mem_7,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/000_0
1,1,"What was the name of the fanzine that interviewed the Sex Pistols bassist when he was in the band ""The Flowers of Romance?""",SKUM,Sniffin’ Glue,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,8,870,final_synthesis_reserve,Sniffin’ Glue,0.16880000000000003,closed_book_initial,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/001_1
2,2,"Which case was decided first, Selle v. Gibb or Reynolds v. Sims?",1964,1964,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,7,12,968,final_synthesis_reserve,1964,0.8585294944146189,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/002_2
3,3,Hate Them is the ninth album by a band likened to who?,Motörhead,Bathory and Celtic Frost,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,14,946,final_synthesis_reserve,Black Flag,0.16880000000000003,closed_book_initial,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/003_3
4,4,"With whom did this American singer, songwriter and record producer, who contributed to the single ""Marvin Gaye"" with Julie Frost, co-produced and performed the 2015 song for a movie soundtrack?",Wiz Khalifa,Wiz Khalifa,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,2,8,950,llm_stop_with_root_memory,Wiz Khalifa,0.993115641529125,intermediate_answer,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/004_4
5,5,Which North American tribe inhabited the banks of the Winnipesaukee River and were also known as the Pawtucket people?,the Pennacook people,Pennacook people,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,6,14,960,final_synthesis_reserve,Pennacook,0.16880000000000003,closed_book_initial,memory,memory_mem_7,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/005_5
6,6,Which part of Scotland is this institute found where Alice König is a lecturer in Latin and Classical Studies?,"St Andrews, Fife, Scotland",Fife,0,1,0.4,0.4,0.0,0.4,0.049787,0.0,0.0,0.0,0.27027,0,6,12,712,frontier_empty,Fife,0.8696896569203885,final_synthesis,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/006_6
7,7,What is Rachelle Amy Beinart's role in the film that follows a group of rebels on a mission?,stunt performances,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,9,947,final_synthesis_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/007_7
8,8,The History of Ranching is a mural that was originally located at an American brewery that in 1999 began trasfering its production to who?,Miller Brewing,Miller Brewing,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,9,16,926,final_synthesis_reserve,Miller Brewing,0.9715016836431123,final_synthesis,memory,memory_mem_10,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/008_8
9,9,Do Bloody Mary and Sidecar share any ingredients in common?,no,No,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,5,12,931,frontier_empty,No,0.9581622369859703,final_synthesis,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/009_9
10,10,Liverpool nurse Mimi Smith was the aunt and guardian of which one of the city's most famous sons?,John Lennon,John Lennon,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,9,14,879,final_synthesis_reserve,John Lennon,0.8856425082986252,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/010_10
11,11,Psychopsis and Aubrieta are both genuses of which type of plants?,flowering plants,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,11,884,final_synthesis_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/011_11
12,12,Which Roman Emperor was grandfather to the children of Mark Antony?,Caligula,Augustus,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,12,913,final_synthesis_reserve,Augustus,0.16880000000000003,closed_book_initial,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/012_12
13,13,Which player Richard Gasquet or Jim Pugh  has won more mixed double Grand Slam titles ?,Jim Pugh,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,10,989,frontier_empty,1,0.6711346806398781,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/013_13
14,14,Who was the head of the Imperial Family that was making an broadcast announcement of Japan's surrender in 1945?,Emperor of Japan,Emperor Hirohito,0,0,0.4,0.4,0.0,0.4,0.303265,0.0,0.0,0.0,0.344828,0,5,10,898,frontier_empty,Emperor Hirohito,0.16880000000000003,closed_book_initial,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/014_14
15,15,"Which singer is younger, Kenny Greene or Billy Idol?",Kenny Greene,Kenny Greene,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,7,12,920,final_synthesis_reserve,Kenny Greene,0.16880000000000003,closed_book_initial,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/015_15
16,16,Do Singapore Sling and Fish House Punch both contain alcohol?,yes,Yes,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,4,8,589,high_confidence_root_memory,Yes,0.8663993955114306,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/016_16
17,17,"Which genus has the most number of species, Myrsine or Styrax?",Myrsine,200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,11,939,frontier_empty,Styrax,0.16880000000000003,closed_book_initial,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/017_17
18,18,"The actor who plays the grown version of Emma Swan's son, from ""Once Upon a Time"", also plays what character in the television show ""The Walking Dead""?",Gareth,Gareth,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,4,8,627,frontier_empty,Gareth,0.8743903536834771,expansion_candidate,state,state_3,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/018_18
19,19,"Which man, Ibn Tufail or Ali Qushji, is best known for the development of astronomical physics independent from natural philosophy?",Ali Qushji,Ali Qushji,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,6,11,927,final_synthesis_reserve,Ali Qushji,0.8428391311977352,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/019_19
20,20,What singer who sang in church during her childhood did Stacy Barthe pen album tracks for?,Katy Perry,Katy Perry,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,7,12,957,final_synthesis_reserve,Katy Perry,0.8994888739315524,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/020_20
21,21,"Who was this American Founding Father, a proponent of democracy, republicanism, and individual rights, examined Ice Age fossils of Kentucky's Big Bone Lick?",Thomas Jefferson,Thomas Jefferson,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,6,12,915,final_synthesis_reserve,Thomas Jefferson,0.8649235584274115,expansion_candidate,state,state_3,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/021_21
22,22,Tui Flower and Julia child were both known for what?,Cooking,food writing,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,13,1004,final_synthesis_reserve,Cooking and television cooking shows,0.16880000000000003,closed_book_initial,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/022_22
23,23,This radio programme that originally aired from October 1995 to April 2000 starred a critic working in what field?,pop music and popular culture,pop music and popular culture,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,6,11,879,final_synthesis_reserve,pop music and popular culture,0.7794716399901127,expansion_candidate,state,state_3,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/023_23
24,24,Who was the son and heir of Henry Beauclerc?,William Adelin,William Adelin,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,8,12,941,final_synthesis_reserve,William Adelin,0.9169285142421183,expansion_candidate,state,state_3,/workspace/TDCA/batch_outputs/hotpot_random100_seed20260504_20260505_085137/runs/024_24
