run_name,mode,token_budget,count,exact_match,avg_steps,avg_llm_calls,avg_generated_tokens,batch_dir
greedy_tok300,greedy,300,10,0.6,1.0,1.6,335.3,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/greedy_tok300/hotpot_dev_distractor_v1_20260327_123420
no_diffusion_tok300,no_diffusion,300,10,0.6,1.0,1.6,335.3,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/no_diffusion_tok300/hotpot_dev_distractor_v1_20260327_171903
tdca_tok300,tdca,300,10,0.6,1.0,1.6,335.3,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/tdca_tok300/hotpot_dev_distractor_v1_20260327_101434
uniform_tok300,uniform,300,10,0.6,1.0,1.6,335.3,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/uniform_tok300/hotpot_dev_distractor_v1_20260327_151516
greedy_tok600,greedy,600,10,0.5,1.7,2.1,556.7,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/greedy_tok600/hotpot_dev_distractor_v1_20260327_125455
no_diffusion_tok600,no_diffusion,600,10,0.6,1.7,2.0,553.6,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/no_diffusion_tok600/hotpot_dev_distractor_v1_20260327_173530
tdca_tok600,tdca,600,10,0.5,1.8,2.1,576.8,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/tdca_tok600/hotpot_dev_distractor_v1_20260327_102843
uniform_tok600,uniform,600,10,0.5,1.8,2.2,577.9,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/uniform_tok600/hotpot_dev_distractor_v1_20260327_152910
greedy_tok1200,greedy,1200,10,0.6,2.9,3.2,919.2,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/greedy_tok1200/hotpot_dev_distractor_v1_20260327_131817
no_diffusion_tok1200,no_diffusion,1200,10,0.7,2.4,2.6,759.4,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/no_diffusion_tok1200/hotpot_dev_distractor_v1_20260327_180028
tdca_tok1200,tdca,1200,10,0.6,2.9,3.2,929.9,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/tdca_tok1200/hotpot_dev_distractor_v1_20260327_105203
uniform_tok1200,uniform,1200,10,0.7,2.4,2.6,759.4,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/uniform_tok1200/hotpot_dev_distractor_v1_20260327_155227
greedy_tok2400,greedy,2400,10,0.7,4.9,5.1,1550.4,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/greedy_tok2400/hotpot_dev_distractor_v1_20260327_140637
no_diffusion_tok2400,no_diffusion,2400,10,0.7,4.2,4.4,1337.0,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/no_diffusion_tok2400/hotpot_dev_distractor_v1_20260327_183334
tdca_tok2400,tdca,2400,10,0.6,3.9,4.1,1259.2,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/tdca_tok2400/hotpot_dev_distractor_v1_20260327_113820
uniform_tok2400,uniform,2400,10,0.6,3.9,4.0,1217.8,/workspace/TDCA/exp_outputs/tdca_grid_20260327_101432/uniform_tok2400/hotpot_dev_distractor_v1_20260327_162745
