index,sample_id,question,gold,pred,exact_match,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,"[""yes""]",,0,"[""Woodson, Arkansas"", ""Doctor Strange (2016 film)"", ""Ed Wood (film)"", ""Conrad Brooks"", ""Adam Collis"", ""Scott Derrickson"", ""Tyler Bates"", ""Sinister (film)"", ""Deliver Us from Evil (2014 film)"", ""Ed Wood""]","[""Scott Derrickson"", ""Ed Wood""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/001_5a8b57f25542995d1e6f1371
2,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"[""Chief of Protocol""]",,0,"[""A Kiss for Corliss"", ""Kiss and Tell (1945 film)"", ""Secretary of State for Constitutional Affairs"", ""Lord High Treasurer"", ""Village accountant"", ""Charles Craft"", ""Meet Corliss Archer (TV series)"", ""Shirley Temple"", ""Janet Waldo"", ""Meet Corliss Archer""]","[""Kiss and Tell (1945 film)"", ""Shirley Temple""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/002_5a8c7595554299585d9e36b6
3,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","[""Animorphs""]",,0,"[""Animorphs"", ""Science Fantasy (magazine)"", ""The Hork-Bajir Chronicles"", ""Etiquette &amp; Espionage"", ""List of Square Enix companion books"", ""Left Behind: The Kids"", ""Victoria Hanley"", ""Andre Norton Award"", ""Shadowshaper"", ""The Divide trilogy""]","[""The Hork-Bajir Chronicles"", ""Animorphs""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/003_5a85ea095542994775f606a8
4,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"[""no""]",,0,"[""Laleli Mosque"", ""Esma Sultan Mansion"", ""Djamaâ el Kebir"", ""Sultan Ahmed Mosque"", ""Esma Sultan (daughter of Abdul Hamid I)"", ""Esma Sultan (daughter of Ahmed III)"", ""Gevheri Kadın"", ""Esma Sultan (daughter of Abdülaziz)"", ""Esma Sultan"", ""Küçük Hüseyin Pasha""]","[""Laleli Mosque"", ""Esma Sultan Mansion""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/004_5adbf0a255429947ff17385a
5,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","[""Greenwich Village, New York City""]",,0,"[""Big Stone Gap (film)"", ""Adriana Trigiani"", ""Kingston Morning"", ""Clinton, Minnesota"", ""I Love NY (2015 film)"", ""Just Another Romantic Wrestling Comedy"", ""Nola (film)"", ""New York Society of Model Engineers"", ""Great Eastern Conventions"", ""Hamish and Andy's Gap Year""]","[""Big Stone Gap (film)"", ""Adriana Trigiani""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/005_5a8e3ea95542995a26add48d
6,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"[""YG Entertainment""]",,0,"[""2014 S/S"", ""Madtown"", ""Winner (band)"", ""SF9 (band)"", ""BTS discography"", ""List of awards and nominations received by Shinee"", ""History (band)"", ""List of songs written by Ravi"", ""Seventeen discography"", ""Cho Kyuhyun""]","[""2014 S/S"", ""Winner (band)""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/006_5abd94525542992ac4f382d2
7,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"[""Eenasul Fateh""]",,0,"[""Management consulting"", ""Lil Ru"", ""Eenasul Fateh"", ""ELDee"", ""Amaruk Kayshapanta"", ""James P. Comer"", ""Method Man"", ""Mick (DJ)"", ""Indriati Iskak"", ""Criss Angel""]","[""Eenasul Fateh"", ""Management consulting""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/007_5a85b2d95542997b5ce40028
8,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"[""3,677 seated""]",,0,"[""Dwyer Arena"", ""Loan modification in the United States"", ""Billings Bulls"", ""2006–07 QMJHL season"", ""2011–12 QMJHL season"", ""Case Gym"", ""Lewiston Maineiacs"", ""2007 Memorial Cup"", ""Robins Center"", ""Androscoggin Bank Colisée""]","[""Lewiston Maineiacs"", ""Androscoggin Bank Colisée""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/008_5a87ab905542996e4f3088c1
9,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?","[""Terry Richardson""]",,0,"[""Annie Morton"", ""Gumbo (PJ Morton album)"", ""Kenton Richardson"", ""Terry Richardson"", ""Madonna (book)"", ""Amanda Lepore"", ""Index Magazine"", ""Lady Gaga x Terry Richardson"", ""Snoecks"", ""Piano Girl""]","[""Annie Morton"", ""Terry Richardson""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/009_5a7bbb64554299042af8f7cc
10,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,"[""yes""]",,0,"[""For Against"", ""Suffrajett"", ""Amherst, Massachusetts"", ""Ophur"", ""William H. Cook Water Tank House"", ""Mendocino County GMO Ban"", ""United States Senate election in Illinois, 1978"", ""Wilford H. Fawcett House"", ""Local H"", ""Hallelujah! I'm a Bum (album)""]","[""Local H"", ""For Against""]",10,0,single_step_rag,True,stop,,empty,api=chat_completions; recovery=chat_with_reasoning_visible:empty=True|chat_without_reasoning_controls:empty=True|chat_without_reasoning_controls_max_tokens:empty=True,outputs/hotpot_sparse_rag_api_20260428_151625_sparse_rag_gpt-5.4_tok1200_n15/runs/010_5a8db19d5542994ba4e3dd00
