index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,steps,llm_calls,generated_tokens,stop_reason,anytime_answer,anytime_answer_score,anytime_answer_source,best_node_type,best_node_id,run_dir
0,0,"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born?",7 January 1936,7 January 1936,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,3,6,505,frontier_empty,7 January 1936,0.8663325121596261,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/000_0
1,1,Which of the movie which has Rich Lee 3-D previsualizations was directed by Francis Lawrence?,Constantine,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,7,882,final_synthesis_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/001_1
2,2,"The album ""The Best of LeAnn Rimes"" contained a song used as the theme song for a film. What is the name of the film?",Coyote Ugly,Coyote Ugly,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,4,6,552,frontier_empty,Coyote Ugly,0.897458074020907,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/002_2
3,3,The song Arizona was recorded by Paul Revere and Mark Lindsay but who wrote the song?,Kenny Young,Kenny Young,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,2,4,156,llm_stop_with_root_memory,Kenny Young,1.0,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/003_3
4,4,The History of Ranching is a mural that was originally located at an American brewery that in 1999 began trasfering its production to who?,Miller Brewing,Miller Brewing,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,8,12,916,frontier_empty,Miller Brewing,0.8065381665139714,expansion_candidate,state,state_4,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/004_4
5,5,"Young Sheldon, the tv series that follows the character Sheldon Cooper at the age of 9, is a spin-off from what prequel?","""The Big Bang Theory""",The Big Bang Theory,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1,3,74,llm_stop_with_root_memory,The Big Bang Theory,0.9203810004414729,memory,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/005_5
6,6,What is another name for the LRA featured in A Brilliant Genocide?,United Holy Salvation Army and Uganda Christian Army/Movement,Lord's Resistance Movement,0,0,0.153846,0.153846,0.0,0.153846,0.071626,0.0,0.0,0.0,0.117647,0,2,4,253,llm_stop_with_root_memory,Lord's Resistance Movement,0.8974269086363934,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/006_6
7,7,What is the name of the 1999 film directed by Roman Polanski and starring his wife Emmanuelle Seigner that was a world-wide success but critically and commercially unsuccessful in North America?,The Ninth Gate,The Ninth Gate,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,4,5,511,frontier_empty,The Ninth Gate,0.922010124545151,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/007_7
8,8,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,tennis,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,3,7,424,llm_stop_with_root_memory,tennis,1.0,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/008_8
9,9,"Which founder of Alcatraz East was born on March 31, 1956?",John Morgan,John Morgan,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,8,13,904,final_synthesis_reserve,John Morgan,0.8407850956639153,expansion_candidate,state,state_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260507_081716/runs/009_9
