index,sample_id,question,gold,pred,exact_match,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,evidence_titles_used,gold_support_titles,run_dir
0,dev_0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,1,1,1,320,llm_stop_with_root_memory,memory,memory_mem_6,"['Doctor Strange (2016 film)', 'Ed Wood (film)', 'Woodson, Arkansas']","['Scott Derrickson', 'Ed Wood']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/000_dev_0
1,dev_1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Janet Waldo,0,9,9,2880,anytime_token_guard,memory,memory_mem_9,"['Kiss and Tell (1945 film)', 'A Kiss for Corliss']","['Kiss and Tell (1945 film)', 'Shirley Temple']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/001_dev_1
2,dev_2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,1,2,2,543,llm_stop_with_root_memory,memory,memory_mem_6,['Animorphs'],"['The Hork-Bajir Chronicles', 'Animorphs']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/002_dev_2
3,dev_3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,Yes,0,9,9,2880,anytime_token_guard,memory,memory_mem_6,"['Laleli Mosque', 'Esma Sultan Mansion']","['Laleli Mosque', 'Esma Sultan Mansion']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/003_dev_3
4,dev_4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Adriana Trigiani,0,4,4,1280,frontier_empty,memory,memory_mem_6,['Big Stone Gap (film)'],"['Big Stone Gap (film)', 'Adriana Trigiani']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/004_dev_4
5,dev_5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,Tune Camp,0,6,6,1803,frontier_empty,memory,memory_mem_6,['Madtown'],"['2014 S/S', 'Winner (band)']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/005_dev_5
6,dev_6,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Aladin,0,4,4,1242,frontier_empty,memory,memory_mem_6,['Eenasul Fateh'],"['Eenasul Fateh', 'Management consulting']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/006_dev_6
7,dev_7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","10,000",0,5,6,1656,frontier_empty,memory,memory_mem_6,['Dwyer Arena'],"['Lewiston Maineiacs', 'Androscoggin Bank Colisée']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/007_dev_7
8,dev_8,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Annie Morton is older than Terry Richardson,0,2,3,736,frontier_empty,memory,memory_mem_6,['Annie Morton'],"['Annie Morton', 'Terry Richardson']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/008_dev_8
9,dev_9,Are Local H and For Against both from the United States?,yes,Yes,1,2,3,736,frontier_empty,memory,memory_mem_6,"['Suffrajett', 'Amherst, Massachusetts']","['Local H', 'For Against']",/workspace/TDCA/batch_outputs/hotpotqa_subset_50_20260326_095739/runs/009_dev_9
