index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,2hop__460946_294723,Who is the spouse of the Green performer?,"[""Miquette Giraudy""]",Victor Willis,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Mud River (Kentucky)"", ""Mok Kwai-lan"", ""Berets of the United States Army"", ""Green Party of Tennessee"", ""Green"", ""Horse with a Heart"", ""List of show business families"", ""Green"", ""Donika Kastrioti"", ""Villa Foscari"", ""Gamla stan metro station"", ""The Green (Dartmouth College)"", ""Mark F. Green"", ""Ira C. Allen Mansion"", ""Green (Steve Hillage album)""]","[""Miquette Giraudy"", ""Green (Steve Hillage album)""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/001_2hop__460946_294723
2,2hop__252311_366220,Who founded the company that distributed the film UHF?,"[""Mike Medavoy""]",Orion Pictures,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Fredrick Brennan"", ""East India Company"", ""GEPetrol"", ""Michael Varah"", ""Alpena Power Company"", ""IBM"", ""As It Is In Life"", ""Gjensidige NOR"", ""UHF (film)"", ""Upi Avianto"", ""Willy Wonka & the Chocolate Factory"", ""De'Longhi"", ""SModcast Pictures"", ""The Home Depot"", ""Game Park""]","[""Mike Medavoy"", ""UHF (film)""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/002_2hop__252311_366220
3,2hop__701895_752697,What administrative territorial entity is the owner of Ciudad Deportiva located?,"[""Tamaulipas""]","Nuevo Laredo, Mexico",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Bob McNair"", ""O Dono do Mundo"", ""Nanny McPhee and the Big Bang"", ""Justice League (film)"", ""Ciudad del Niño metro station"", ""Minsk Region"", ""Ciudad Deportiva (Nuevo Laredo)"", ""History of the New Orleans Saints"", ""Chihuahua (state)"", ""Philippine de Rothschild"", ""Peter Lorange"", ""Steve Loeb"", ""James Finch"", ""Mikko Raita"", ""Bogotá""]","[""Nuevo Laredo Municipality"", ""Ciudad Deportiva (Nuevo Laredo)""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/003_2hop__701895_752697
4,2hop__259228_793698,Where is Ulrich Walter's employer headquartered?,"[""Cologne""]",Not enough information,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[""Ulrich Walser House"", ""Ulrich, 10th Prince Kinsky of Wchinitz and Tettau"", ""Ulrich Franzen"", ""Form I-9"", ""Stanly County Schools"", ""Southampton"", ""Peter Antonovich of Brunswick"", ""The Girl from Capri"", ""The House Across the Bay"", ""Popcorn (Luiz Henrique and Walter Wanderley album)"", ""Little Miss Marker (1980 film)"", ""Full-time"", ""New York City"", ""6,000 Enemies"", ""Schlage""]","[""Philae (spacecraft)"", ""Ulrich Walter""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/004_2hop__259228_793698
5,2hop__481349_302087,Which company owns the manufacturer of Learjet 60?,"[""Bombardier Inc."", ""Bombardier""]",Bombardier Inc,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,"[""Aster Società Italiana Motori"", ""Boiron"", ""Superior Drill Company"", ""Jurmo-class landing craft"", ""Rosenlew"", ""General Electric"", ""List price"", ""Tip Top Bakeries"", ""Indu Jain"", ""A Shadow on the Glass"", ""Iron Grip Barbell Company"", ""Joliet Union Station"", ""Vadeli"", ""Adtranz"", ""Prysmian Group""]","[""List of Bombardier CRJ operators"", ""Learjet 60""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/005_2hop__481349_302087
6,2hop__697790_864352,Who is the child of Caroline LeRoy's spouse?,"[""Fletcher Webster""]","Daniel Webster’s children from his first marriage, including Julia Webster and Daniel Webster Jr., as well as Caroline LeRoy’s stepchildren",0,0,0.083333,0.083333,0.0,0.083333,0.045455,0.0,0.0,0.0,0.25,1,"[""Caroline LeRoy"", ""The Child of Lov"", ""Histoires Naturelles (album)"", ""Leroy (name)"", ""National Insurance number"", ""Daniel Bremer Juell"", ""Loekman Hakim"", ""The Official Story"", ""Milena Reljin"", ""Convention on the Rights of the Child"", ""Helen Curtin Moskey"", ""Emmi Pikler"", ""Princess Stéphanie of Monaco"", ""Kala Ramnath"", ""Toddler""]","[""Fletcher Webster"", ""Caroline LeRoy""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/006_2hop__697790_864352
7,2hop__207476_625987,"Who is the grandmother of Philippe, Duke of Orléans?","[""Marie de' Medici""]",Anne of Austria,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Philippe I, Duke of Orléans"", ""François d'Orléans, Prince of Joinville"", ""Mercedes of Orléans"", ""Louise Élisabeth d'Orléans"", ""Vincent Voiture"", ""Infante Henrique, Duke of Coimbra"", ""Nicholas II of Niemodlin"", ""Louis Philippe I"", ""Sigrid Eskilsdotter (Banér)"", ""Louis the Stammerer"", ""Louise of Savoy"", ""Princess Magdalena Augusta of Anhalt-Zerbst"", ""August Philipp, Duke of Schleswig-Holstein-Sonderburg-Beck"", ""Ankhesenpaaten Tasherit"", ""Prince Edward, Earl of Wessex""]","[""Philippe I, Duke of Orléans"", ""Leonora Dori""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/007_2hop__207476_625987
8,2hop__390947_232243,What is the goal of the group that European Movement Germany is a member of?,"[""European integration""]",To promote European integration and disseminate information about it,0,1,0.363636,0.363636,0.222222,0.363636,0.222222,0.125,0.0,0.0,0.740741,1,"[""European Movement International"", ""J. Craig Gordon"", ""Capital punishment in the United States"", ""Alain Milon"", ""François Pillet"", ""Daniel Marsin"", ""Germany"", ""Jean-Pierre Sueur"", ""History of the euro"", ""Ignazio Corrao"", ""Michèle San Vicente-Baudrin"", ""André Laignel"", ""Michel Sergent"", ""Michel Guerry"", ""Bernd Hüttemann""]","[""Bernd Hüttemann"", ""European Movement International""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/008_2hop__390947_232243
9,2hop__354635_174222,What company succeeded the owner of Empire Sports Network?,"[""Time Warner Cable"", ""Time Warner""]",Adelphia Communications Corporation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Empire Sports Network"", ""Bob McNair"", ""O Dono do Mundo"", ""Nanny McPhee and the Big Bang"", ""Comcast Sports Southwest"", ""EA Sports"", ""Justice League (film)"", ""History of the New Orleans Saints"", ""James Finch"", ""Philippine de Rothschild"", ""WCKD-LP"", ""John W. Henry"", ""Peter Lorange"", ""Steve Loeb"", ""Chris Krause""]","[""Empire Sports Network"", ""Windjammer Communications""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/009_2hop__354635_174222
10,2hop__635187_861533,What province shares a border with the province where Lago District is located?,"[""Cabo Delgado Province""]",Tanzania,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Đức Huệ District"", ""Bilene Macia District"", ""Morrumbene District"", ""Panda District"", ""Chibuto District"", ""Ban Hinlat"", ""A Kiom"", ""A Don"", ""A Magne"", ""A Lim"", ""A Doi"", ""Lago District"", ""Lâm Đồng Province"", ""Lumaco"", ""Atajate""]","[""Niassa Reserve"", ""Lago District""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_dense_rag_qwen_api_20260520_095930_dense_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/010_2hop__635187_861533
