index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,steps,llm_calls,generated_tokens,stop_reason,anytime_answer,anytime_answer_score,anytime_answer_source,best_node_type,best_node_id,run_dir
0,2hop__496961_554601,What's the place of birth of the former member of The Sunnyboys?,Kingscliff,"Kingscliff, New South Wales",1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,"[""Sunnyboys"", ""Census of Quirinius"", ""Star Trek: Birth of the Federation"", ""Female reproductive system"", ""Jeremy Oxley"", ""Birth certificate"", ""La Rosiere de Pessac"", ""Fundamental Rights, Directive Principles and Fundamental Duties of India"", ""A Prisoner of Birth"", ""2018 Illinois gubernatorial election"", ""Natural-born-citizen clause"", ""Fëanor""]","[""Sunnyboys"", ""Jeremy Oxley""]",8,13,814,frontier_empty,"Kingscliff, New South Wales",0.8639553457677369,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/000_2hop__496961_554601
1,2hop__29368_29376,What event caused the founder of Australia's liberal party to become Prime Minister?,Lyons' death in 1939,"Defeating the Labor government of Ben Chifley in 1949, in part over a Labor proposal to nationalise banks and following a crippling coal strike led by the Australian Communist Party",0,0,0.066667,0.066667,0.0,0.066667,0.038462,0.0,0.0,0.0,0.16129,1,"[""Barton Government"", ""History of Australia"", ""Liberal Party of Australia"", ""Second Filat Cabinet"", ""Jean Pelletier"", ""Australia in the Korean War"", ""Prime Minister of Canada"", ""David Lloyd George"", ""Lyons Government"", ""Hung parliament"", ""People's Congress Party"", ""Lyle Vanclief"", ""Amama Mbabazi"", ""Prime minister""]","[""Liberal Party of Australia""]",7,13,1128,final_rerank_reserve,"Defeating the Labor government of Ben Chifley in 1949, in part over a Labor proposal to nationalise banks and following a crippling coal strike led by the Australian Communist Party",0.7417999314930853,path_terminal,memory,memory_mem_7,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/001_2hop__29368_29376
2,2hop__77601_814677,What pantheon is the God of the underworld in ancient Egypt a part of?,ancient Egyptian religion,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Book of Exodus"", ""Statue of Liberty"", ""The Exodus"", ""Mark Lehner"", ""History of medicine"", ""Ramose and the Tomb Robbers"", ""Temple of Kom Ombo"", ""Hapi (Son of Horus)"", ""Osiris""]","[""Hapi (Son of Horus)"", ""Osiris""]",7,15,1176,frontier_empty,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/002_2hop__77601_814677
3,2hop__92051_827343,Who is the sibling of the actress who played Susan Walker in Miracle on 34th street?,Lana Wood,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Mara Wilson"", ""James Remar"", ""Miracle on 34th Street"", ""Bit part"", ""Mr. Noodle"", ""Chickasaw, Louisville"", ""Susan Banks""]","[""Five Finger Exercise"", ""Miracle on 34th Street""]",6,12,937,frontier_empty,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/003_2hop__92051_827343
4,2hop__16581_16525,When did the person who first brought a postal service into Umayyad lands become caliph?,661,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Punjab, Pakistan"", ""Umayyad Caliphate"", ""Mu'awiya ibn Hisham"", ""Portugal"", ""Mosaic""]","[""Umayyad Caliphate""]",8,14,1142,final_rerank_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/004_2hop__16581_16525
5,2hop__88906_55840,"In the King's Speech, who played the person who was the King of England in 1950?",Colin Firth,Colin Firth,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""The King's Speech"", ""List of English monarchs"", ""Lascelles Principles"", ""Richard of Shrewsbury, Duke of York"", ""Gunhilde"", ""George VI"", ""Poor People's Campaign"", ""King James Version"", ""Civil disobedience"", ""Oriel College, Oxford"", ""Raymond Márquez"", ""Sacramento Kings"", ""Taylor King"", ""Dwight King"", ""Æthelflæd of Damerham"", ""Edward II (play)""]","[""The King's Speech"", ""George VI""]",8,15,1213,frontier_empty,Colin Firth,0.8064031963902624,expansion_candidate,memory,memory_mem_8,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/005_2hop__88906_55840
6,2hop__555792_30351,Who did Hayek work for upon being hired by the author of Omnipotent Government?,the Austrian government,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Friedrich Hayek"", ""Omnipotent Government"", ""Jean de La Hire"", ""Karl Popper"", ""Nicholas Eftimiades"", ""Affirmative action in the United States""]","[""Omnipotent Government"", ""Friedrich Hayek""]",7,13,1123,final_rerank_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/006_2hop__555792_30351
7,2hop__10122_18974,Who led the military expedition to where now Min dialects are spoken on border with Zhejiang?,Chen Zheng,Chen Zheng,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""Zhejiang"", ""Hokkien"", ""Dialect"", ""Normans"", ""Greece"", ""Chukotkan languages"", ""Endegagn"", ""Somalis"", ""Catalan language"", ""Armenians""]","[""Hokkien"", ""Zhejiang""]",7,12,1143,final_rerank_reserve,Chen Zheng,0.8542525781053785,expansion_candidate,memory,memory_mem_8,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/007_2hop__10122_18974
8,2hop__326404_120065,When did Charles Frederick II's birthplace fall?,1738,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Frederick Charles Adler"", ""Anna of Hohenstaufen"", ""Maximilian von Alopaeus"", ""Kingdom of Naples"", ""Charles Frederick II, Duke of Württemberg-Oels"", ""Electorate of Baden"", ""Henry Frederick of Württemberg-Winnental"", ""Princess Margaret of Prussia"", ""Andronikos V Palaiologos"", ""List of That '70s Show characters"", ""Prince Louis Charles of Prussia"", ""Sixth Crusade"", ""Edward Proger"", ""Cornstalk Heights"", ""Merseburg"", ""Darwinius""]","[""Merseburg"", ""Charles Frederick II, Duke of Württemberg-Oels""]",8,15,1180,final_rerank_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/008_2hop__326404_120065
9,2hop__16844_20510,When was the entity that was dissolved after the Indian Rebellion in 1857 chartered?,1600,1600,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,"[""British Raj"", ""Queen Victoria"", ""Bahadur Shah Zafar"", ""History of India"", ""List of governors-general of India"", ""Modern history"", ""British Empire""]","[""British Empire"", ""Queen Victoria""]",3,7,626,frontier_empty,,0.0,,memory,memory_mem_6,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/009_2hop__16844_20510
10,2hop__608902_653666,Who is the mother of Katharine Smith Salisbury's brother?,Lucy Mack Smith,Lucy Mack Smith,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,"[""Katharine Smith Salisbury"", ""Zadie Smith"", ""Minnie Cumnock Blodgett"", ""Will Smith"", ""Katharine Brown"", ""History of Joseph Smith by His Mother"", ""Tara Bray Smith"", ""Dweezil Zappa"", ""Kate Kellaway""]","[""Katharine Smith Salisbury"", ""History of Joseph Smith by His Mother""]",4,9,784,frontier_empty,Lucy Mack Smith,0.7353999999999999,path_terminal,memory,memory_mem_6,/workspace/TDCA/batch_outputs/musique_random100_seed520_20260702_112229/runs/010_2hop__608902_653666
