index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,generation_empty,llm_finish_reason,llm_error,prediction_source,llm_debug_summary,run_dir
1,2hop__460946_294723,Who is the spouse of the Green performer?,"[""Miquette Giraudy""]",Norm Nixon,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""List of show business families"", ""Countess Charlotte Brabantina of Nassau"", ""Mok Kwai-lan"", ""Star Trek: Discovery"", ""Star Trek: Discovery"", ""Star Trek: Discovery"", ""Green"", ""Green"", ""Gooden's Corner"", ""Green Party of the United States"", ""Green Lake (Chisago City, Minnesota)"", ""The Odd Life of Timothy Green"", ""Little Green (song)"", ""The Latin Bit"", ""Miquette Giraudy""]","[""Miquette Giraudy"", ""Green (Steve Hillage album)""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/001_2hop__460946_294723
2,2hop__252311_366220,Who founded the company that distributed the film UHF?,"[""Mike Medavoy""]",Orion Pictures,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""SModcast Pictures"", ""Amblin Entertainment"", ""Videodrome"", ""UHF (film)"", ""Equity Music Group"", ""CFVS-DT"", ""Race (human categorization)"", ""Marketwired"", ""Le Mauricien"", ""Sleaszy Rider Records"", ""DeSoto Records"", ""Three Gut Records"", ""GeminiJets"", ""Common nightingale"", ""List of tallest structures""]","[""Mike Medavoy"", ""UHF (film)""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/002_2hop__252311_366220
3,2hop__701895_752697,What administrative territorial entity is the owner of Ciudad Deportiva located?,"[""Tamaulipas""]",Nuevo Laredo,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Minsk Region"", ""Ciudad Deportiva (Nuevo Laredo)"", ""Buenos Aires Argentina Temple"", ""Tumaraa"", ""Sportivo Italiano"", ""Cyprus Popular Bank"", ""Hipermercado Géant"", ""Arena Football League"", ""1969 Mexican Grand Prix"", ""Pangi Territory"", ""Estadio Unión Tarma"", ""Ciudad del Niño metro station"", ""States of Nigeria"", ""Ofu Airport"", ""Juan Carlos Espinoza Mercado""]","[""Nuevo Laredo Municipality"", ""Ciudad Deportiva (Nuevo Laredo)""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/003_2hop__701895_752697
4,2hop__259228_793698,Where is Ulrich Walter's employer headquartered?,"[""Cologne""]",Unknown,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Southampton"", ""Schlage"", ""New Haven, Connecticut"", ""Mount Meigs Campus"", ""Full-time"", ""Ulrich Walser House"", ""Cork (city)"", ""General Electric"", ""Ulrich Franzen"", ""Ulrich, 10th Prince Kinsky of Wchinitz and Tettau"", ""Richmond, Virginia"", ""Peter Antonovich of Brunswick"", ""Confederation of Finnish Industries"", ""Philae (spacecraft)"", ""HM Prison Tarrengower""]","[""Philae (spacecraft)"", ""Ulrich Walter""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/004_2hop__259228_793698
5,2hop__481349_302087,Which company owns the manufacturer of Learjet 60?,"[""Bombardier Inc."", ""Bombardier""]",Bombardier Inc,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,"[""Learjet 60"", ""Commer"", ""Rosenlew"", ""Wagner Manufacturing Company"", ""Plansee SE"", ""Heidelberger RK"", ""Market Square (High Point, North Carolina)"", ""Tip Top Bakeries"", ""David Copperfield (illusionist)"", ""Studio 60 on the Sunset Strip"", ""List of NASCAR Manufacturers' champions"", ""Aerojet"", ""List of Bombardier CRJ operators"", ""List of Walmart brands"", ""IPod""]","[""List of Bombardier CRJ operators"", ""Learjet 60""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/005_2hop__481349_302087
6,2hop__697790_864352,Who is the child of Caroline LeRoy's spouse?,"[""Fletcher Webster""]","Daniel Webster's children from his first marriage, including Julia Webster and Edward Webster, as well as his stepchildren from Caroline LeRoy’s prior marriage (if any) are not specified in the context; however, Caroline LeRoy had no children with Daniel Webster",0,0,0.046512,0.046512,0.0,0.046512,0.02439,0.0,0.0,0.0,0.169492,1,"[""Caroline LeRoy"", ""Sweet Caroline"", ""The Memory Keeper's Daughter"", ""Marshall Eriksen"", ""Leroy Township, Ingham County, Michigan"", ""Princess Stéphanie of Monaco"", ""Margareta von Ascheberg"", ""Histoires Naturelles (album)"", ""Choptank River"", ""Leroy (name)"", ""George II of Great Britain"", ""The FBI Story"", ""Elmer, the Great"", ""Lee Evans (producer)"", ""Barnett River""]","[""Fletcher Webster"", ""Caroline LeRoy""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/006_2hop__697790_864352
7,2hop__207476_625987,"Who is the grandmother of Philippe, Duke of Orléans?","[""Marie de' Medici""]",Anne of Austria,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Lionel Medeiros"", ""François d'Orléans, Prince of Joinville"", ""Louis Philippe I"", ""Philippe I, Duke of Orléans"", ""Louise Élisabeth d'Orléans"", ""Marilou Berry"", ""Emmanuelle Boidron"", ""Infante Henrique, Duke of Coimbra"", ""Edward VIII"", ""Mercedes of Orléans"", ""1979–80 Coupe de France"", ""Vincent Voiture"", ""Constance of Burgundy"", ""Jean-Michel Oughourlian"", ""Snow White and the Huntsman""]","[""Philippe I, Duke of Orléans"", ""Leonora Dori""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/007_2hop__207476_625987
8,2hop__390947_232243,What is the goal of the group that European Movement Germany is a member of?,"[""European integration""]",To promote European integration and disseminate information about it,0,1,0.363636,0.363636,0.222222,0.363636,0.222222,0.125,0.0,0.0,0.740741,1,"[""European Movement International"", ""Bernd Hüttemann"", ""Franck Proust"", ""Daniel Marsin"", ""Ignazio Corrao"", ""Antonia Parvanova"", ""Jean-Marie Cavada"", ""Alain Milon"", ""François Pillet"", ""Michel Guerry"", ""Roselyne Bachelot"", ""Yosyf Zisels"", ""Christophe Béchu"", ""Mart Stam"", ""Constitutional Movement""]","[""Bernd Hüttemann"", ""European Movement International""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/008_2hop__390947_232243
9,2hop__354635_174222,What company succeeded the owner of Empire Sports Network?,"[""Time Warner Cable"", ""Time Warner""]",Time Warner Cable,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,"[""Empire Sports Network"", ""Highway 1 (Afghanistan)"", ""Nova Sports"", ""Fox Sports West and Prime Ticket"", ""Ottoman Empire"", ""Windjammer Communications"", ""Swimming at the Commonwealth Games"", ""WFAN-FM"", ""Tennis on CBS"", ""Andrea Kremer"", ""Comcast Sports Southwest"", ""WZEI"", ""EA Sports"", ""Fox Sports 1"", ""NBCSN""]","[""Empire Sports Network"", ""Windjammer Communications""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/009_2hop__354635_174222
10,2hop__635187_861533,What province shares a border with the province where Lago District is located?,"[""Cabo Delgado Province""]",Cabo Delgado Province,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,"[""Lago District"", ""Swan Miara"", ""Lago Verde (Queyras)"", ""Niassa Reserve"", ""Gmina Włodawa"", ""States of Nigeria"", ""Gallaratese"", ""Michurinsky District"", ""Novolaksky District"", ""Akshinsky District"", ""Kazachinsky District"", ""Shumerlinsky District"", ""Nyuksensky District"", ""Shmidtovsky District"", ""Chaunsky District""]","[""Niassa Reserve"", ""Lago District""]",15,0,single_step_rag,False,stop,,primary,api=chat_completions,outputs/musique_sparse_rag_qwen_api_20260520_095044_sparse_rag_qwen-plus_tok1200_n50_musique_qwen_tok1200_n50/runs/010_2hop__635187_861533
