index,sample_id,question,gold,pred,exact_match,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,raw_generation,generation_empty,llm_finish_reason,llm_usage,llm_error,llm_debug,prediction_source,raw_generation_primary,fallback_raw_generation,fallback_generation_empty,fallback_llm_finish_reason,fallback_llm_usage,fallback_llm_error,run_dir,context_doc_count
1,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,"[""yes""]",,0,"[""Woodson, Arkansas"", ""Doctor Strange (2016 film)"", ""Ed Wood (film)"", ""Conrad Brooks"", ""Adam Collis"", ""Scott Derrickson"", ""Tyler Bates"", ""Sinister (film)"", ""Deliver Us from Evil (2014 film)"", ""Ed Wood""]","[""Scott Derrickson"", ""Ed Wood""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135480,""id"":""chatcmpl-1cb9e0a2-f4ed-43a0-ae79-680fc"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":13,""prompt_tokens"":5550,""total_tokens"":5563}}",True,stop,"{""completion_tokens"": 13, ""prompt_tokens"": 5550, ""total_tokens"": 5563}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135480,""id"":""chatcmpl-1cb9e0a2-f4ed-43a0-ae79-680fc"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":13,""prompt_tokens"":5550,""total_tokens"":5563}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/001_5a8b57f25542995d1e6f1371,10
2,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"[""Chief of Protocol""]",,0,"[""A Kiss for Corliss"", ""Kiss and Tell (1945 film)"", ""Secretary of State for Constitutional Affairs"", ""Lord High Treasurer"", ""Village accountant"", ""Charles Craft"", ""Meet Corliss Archer (TV series)"", ""Shirley Temple"", ""Janet Waldo"", ""Meet Corliss Archer""]","[""Kiss and Tell (1945 film)"", ""Shirley Temple""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135484,""id"":""chatcmpl-d25efd28-2b2b-4d68-9ee0-5c253"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5655,""total_tokens"":5665}}",True,stop,"{""completion_tokens"": 10, ""prompt_tokens"": 5655, ""total_tokens"": 5665}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135484,""id"":""chatcmpl-d25efd28-2b2b-4d68-9ee0-5c253"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5655,""total_tokens"":5665}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/002_5a8c7595554299585d9e36b6,10
3,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","[""Animorphs""]",,0,"[""Animorphs"", ""Science Fantasy (magazine)"", ""The Hork-Bajir Chronicles"", ""Etiquette &amp; Espionage"", ""List of Square Enix companion books"", ""Left Behind: The Kids"", ""Victoria Hanley"", ""Andre Norton Award"", ""Shadowshaper"", ""The Divide trilogy""]","[""The Hork-Bajir Chronicles"", ""Animorphs""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135490,""id"":""chatcmpl-9ef2e51f-6f21-4f4b-b0a8-7215c"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5910,""total_tokens"":5920}}",True,stop,"{""completion_tokens"": 10, ""prompt_tokens"": 5910, ""total_tokens"": 5920}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135490,""id"":""chatcmpl-9ef2e51f-6f21-4f4b-b0a8-7215c"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5910,""total_tokens"":5920}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/003_5a85ea095542994775f606a8,10
4,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"[""no""]",,0,"[""Laleli Mosque"", ""Esma Sultan Mansion"", ""Djamaâ el Kebir"", ""Sultan Ahmed Mosque"", ""Esma Sultan (daughter of Abdul Hamid I)"", ""Esma Sultan (daughter of Ahmed III)"", ""Gevheri Kadın"", ""Esma Sultan (daughter of Abdülaziz)"", ""Esma Sultan"", ""Küçük Hüseyin Pasha""]","[""Laleli Mosque"", ""Esma Sultan Mansion""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135496,""id"":""chatcmpl-7e6dfc58-2f6e-4910-b504-a76a7"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":29,""prompt_tokens"":5384,""total_tokens"":5413}}",True,stop,"{""completion_tokens"": 29, ""prompt_tokens"": 5384, ""total_tokens"": 5413}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135496,""id"":""chatcmpl-7e6dfc58-2f6e-4910-b504-a76a7"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":29,""prompt_tokens"":5384,""total_tokens"":5413}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/004_5adbf0a255429947ff17385a,10
5,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","[""Greenwich Village, New York City""]",,0,"[""Big Stone Gap (film)"", ""Adriana Trigiani"", ""Kingston Morning"", ""Clinton, Minnesota"", ""I Love NY (2015 film)"", ""Just Another Romantic Wrestling Comedy"", ""Nola (film)"", ""New York Society of Model Engineers"", ""Great Eastern Conventions"", ""Hamish and Andy's Gap Year""]","[""Big Stone Gap (film)"", ""Adriana Trigiani""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135500,""id"":""chatcmpl-00d29e95-1483-4a66-9808-1ebdc"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":9,""prompt_tokens"":5690,""total_tokens"":5699}}",True,stop,"{""completion_tokens"": 9, ""prompt_tokens"": 5690, ""total_tokens"": 5699}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135500,""id"":""chatcmpl-00d29e95-1483-4a66-9808-1ebdc"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":9,""prompt_tokens"":5690,""total_tokens"":5699}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/005_5a8e3ea95542995a26add48d,10
6,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"[""YG Entertainment""]",,0,"[""2014 S/S"", ""Madtown"", ""Winner (band)"", ""SF9 (band)"", ""BTS discography"", ""List of awards and nominations received by Shinee"", ""History (band)"", ""List of songs written by Ravi"", ""Seventeen discography"", ""Cho Kyuhyun""]","[""2014 S/S"", ""Winner (band)""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135506,""id"":""chatcmpl-967857bb-b3af-46fb-a0a1-f22a8"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5706,""total_tokens"":5716}}",True,stop,"{""completion_tokens"": 10, ""prompt_tokens"": 5706, ""total_tokens"": 5716}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135506,""id"":""chatcmpl-967857bb-b3af-46fb-a0a1-f22a8"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5706,""total_tokens"":5716}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/006_5abd94525542992ac4f382d2,10
7,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"[""Eenasul Fateh""]",,0,"[""Management consulting"", ""Lil Ru"", ""Eenasul Fateh"", ""ELDee"", ""Amaruk Kayshapanta"", ""James P. Comer"", ""Method Man"", ""Mick (DJ)"", ""Indriati Iskak"", ""Criss Angel""]","[""Eenasul Fateh"", ""Management consulting""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135510,""id"":""chatcmpl-1ee80f3d-4703-4ea7-bae2-c42c3"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":6183,""total_tokens"":6195}}",True,stop,"{""completion_tokens"": 12, ""prompt_tokens"": 6183, ""total_tokens"": 6195}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135510,""id"":""chatcmpl-1ee80f3d-4703-4ea7-bae2-c42c3"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":6183,""total_tokens"":6195}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/007_5a85b2d95542997b5ce40028,10
8,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"[""3,677 seated""]",,0,"[""Dwyer Arena"", ""Loan modification in the United States"", ""Billings Bulls"", ""2006–07 QMJHL season"", ""2011–12 QMJHL season"", ""Case Gym"", ""Lewiston Maineiacs"", ""2007 Memorial Cup"", ""Robins Center"", ""Androscoggin Bank Colisée""]","[""Lewiston Maineiacs"", ""Androscoggin Bank Colisée""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135517,""id"":""chatcmpl-579256a2-79b5-43cd-a47e-c6b24"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":7258,""total_tokens"":7270}}",True,stop,"{""completion_tokens"": 12, ""prompt_tokens"": 7258, ""total_tokens"": 7270}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135517,""id"":""chatcmpl-579256a2-79b5-43cd-a47e-c6b24"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":7258,""total_tokens"":7270}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/008_5a87ab905542996e4f3088c1,10
9,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?","[""Terry Richardson""]",,0,"[""Annie Morton"", ""Gumbo (PJ Morton album)"", ""Kenton Richardson"", ""Terry Richardson"", ""Madonna (book)"", ""Amanda Lepore"", ""Index Magazine"", ""Lady Gaga x Terry Richardson"", ""Snoecks"", ""Piano Girl""]","[""Annie Morton"", ""Terry Richardson""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135523,""id"":""chatcmpl-315600c2-1ce3-45c8-913e-bb279"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":5679,""total_tokens"":5691}}",True,stop,"{""completion_tokens"": 12, ""prompt_tokens"": 5679, ""total_tokens"": 5691}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135523,""id"":""chatcmpl-315600c2-1ce3-45c8-913e-bb279"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":5679,""total_tokens"":5691}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/009_5a7bbb64554299042af8f7cc,10
10,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,"[""yes""]",,0,"[""For Against"", ""Suffrajett"", ""Amherst, Massachusetts"", ""Ophur"", ""William H. Cook Water Tank House"", ""Mendocino County GMO Ban"", ""United States Senate election in Illinois, 1978"", ""Wilford H. Fawcett House"", ""Local H"", ""Hallelujah! I'm a Bum (album)""]","[""Local H"", ""For Against""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135530,""id"":""chatcmpl-c9ee2c73-6055-49e4-a8c7-1907d"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":8,""prompt_tokens"":5707,""total_tokens"":5715}}",True,stop,"{""completion_tokens"": 8, ""prompt_tokens"": 5707, ""total_tokens"": 5715}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135530,""id"":""chatcmpl-c9ee2c73-6055-49e4-a8c7-1907d"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":8,""prompt_tokens"":5707,""total_tokens"":5715}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/010_5a8db19d5542994ba4e3dd00,10
11,5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?","[""Kansas Song""]",,0,"[""University of Kansas"", ""University of the Incarnate Word"", ""Kansas Song"", ""University of Missouri–Kansas City"", ""North Kansas City, Missouri"", ""Kansas City Scout"", ""Kansas City metropolitan area"", ""Downtown Kansas City"", ""Kansas City jazz"", ""History of the Kansas City metropolitan area""]","[""Kansas Song"", ""University of Kansas""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135534,""id"":""chatcmpl-ff1238af-d90a-4ec3-9d54-20e6b"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":15,""prompt_tokens"":6053,""total_tokens"":6068}}",True,stop,"{""completion_tokens"": 15, ""prompt_tokens"": 6053, ""total_tokens"": 6068}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135534,""id"":""chatcmpl-ff1238af-d90a-4ec3-9d54-20e6b"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":15,""prompt_tokens"":6053,""total_tokens"":6068}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/011_5a7166395542994082a3e814,10
12,5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?","[""David Weissman""]",,0,"[""David Weissman"", ""The Family Man"", ""Deadfall (1993 film)"", ""Ungod"", ""Season of the Witch (2011 film)"", ""It Could Happen to You (1994 film)"", ""City of Angels (film)"", ""Drive Angry"", ""Time to Kill (1989 film)"", ""Gone in 60 Seconds (2000 film)""]","[""David Weissman"", ""The Family Man""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135542,""id"":""chatcmpl-39c4dbe9-a724-409b-b49b-85945"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5616,""total_tokens"":5626}}",True,stop,"{""completion_tokens"": 10, ""prompt_tokens"": 5616, ""total_tokens"": 5626}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135542,""id"":""chatcmpl-39c4dbe9-a724-409b-b49b-85945"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5616,""total_tokens"":5626}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/012_5a877e5d5542993e715abf7d,10
13,5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,"[""1999""]",,0,"[""End of Days (film)"", ""Get Christie Love!"", ""Oh My God (Guns N' Roses song)"", ""Last Action Hero"", ""Guns N' Roses discography"", ""True Lies"", ""Arnold Schwarzenegger filmography"", ""Steven Adler"", ""Hammerjack's"", ""Faction Punk""]","[""Oh My God (Guns N' Roses song)"", ""End of Days (film)""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135550,""id"":""chatcmpl-79858db5-4cfa-4ddf-b5d9-86d8b"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5860,""total_tokens"":5870}}",True,stop,"{""completion_tokens"": 10, ""prompt_tokens"": 5860, ""total_tokens"": 5870}",,{},empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777135550,""id"":""chatcmpl-79858db5-4cfa-4ddf-b5d9-86d8b"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5860,""total_tokens"":5870}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_164435_sparse_rag_gpt-5.4_tok1200_n15/runs/013_5ab3b0bf5542992ade7c6e39,10
