index,sample_id,question,gold,pred,exact_match,retrieved_titles,gold_titles,num_retrieved,num_reasoning_steps,stop_reason,raw_generation,generation_empty,llm_finish_reason,llm_usage,llm_error,prediction_source,raw_generation_primary,fallback_raw_generation,fallback_generation_empty,fallback_llm_finish_reason,fallback_llm_usage,fallback_llm_error,run_dir,context_doc_count
1,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,"[""yes""]",,0,"[""Woodson, Arkansas"", ""Doctor Strange (2016 film)"", ""Ed Wood (film)"", ""Conrad Brooks"", ""Adam Collis"", ""Scott Derrickson"", ""Tyler Bates"", ""Sinister (film)"", ""Deliver Us from Evil (2014 film)"", ""Ed Wood""]","[""Scott Derrickson"", ""Ed Wood""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134029,""id"":""chatcmpl-7ac505cd-0ce1-4272-a155-03f08"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":13,""prompt_tokens"":5550,""total_tokens"":5563}}",True,stop,"{""completion_tokens"": 13, ""prompt_tokens"": 5550, ""total_tokens"": 5563}",,empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134029,""id"":""chatcmpl-7ac505cd-0ce1-4272-a155-03f08"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":13,""prompt_tokens"":5550,""total_tokens"":5563}}","{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134035,""id"":""chatcmpl-0513f160-658b-4742-b731-f512a"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":8,""prompt_tokens"":5719,""total_tokens"":5727}}",True,stop,"{""completion_tokens"": 8, ""prompt_tokens"": 5719, ""total_tokens"": 5727}",,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/001_5a8b57f25542995d1e6f1371,10
2,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"[""Chief of Protocol""]",Chief of Protocol,1,"[""A Kiss for Corliss"", ""Kiss and Tell (1945 film)"", ""Secretary of State for Constitutional Affairs"", ""Lord High Treasurer"", ""Village accountant"", ""Charles Craft"", ""Meet Corliss Archer (TV series)"", ""Shirley Temple"", ""Janet Waldo"", ""Meet Corliss Archer""]","[""Kiss and Tell (1945 film)"", ""Shirley Temple""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134040,""id"":""chatcmpl-854e248d-502e-40b7-98d6-b116d"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5655,""total_tokens"":5665}}",True,stop,"{""completion_tokens"": 10, ""prompt_tokens"": 5655, ""total_tokens"": 5665}",,evidence_fallback,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134040,""id"":""chatcmpl-854e248d-502e-40b7-98d6-b116d"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5655,""total_tokens"":5665}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/002_5a8c7595554299585d9e36b6,10
3,5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","[""Animorphs""]",Animorphs,1,"[""Animorphs"", ""Science Fantasy (magazine)"", ""The Hork-Bajir Chronicles"", ""Etiquette &amp; Espionage"", ""List of Square Enix companion books"", ""Left Behind: The Kids"", ""Victoria Hanley"", ""Andre Norton Award"", ""Shadowshaper"", ""The Divide trilogy""]","[""The Hork-Bajir Chronicles"", ""Animorphs""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134044,""id"":""chatcmpl-cd7dcb66-86e5-4bd9-bbac-c3f37"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5910,""total_tokens"":5920}}",True,stop,"{""completion_tokens"": 10, ""prompt_tokens"": 5910, ""total_tokens"": 5920}",,evidence_fallback,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134044,""id"":""chatcmpl-cd7dcb66-86e5-4bd9-bbac-c3f37"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5910,""total_tokens"":5920}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/003_5a85ea095542994775f606a8,10
4,5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"[""no""]",,0,"[""Laleli Mosque"", ""Esma Sultan Mansion"", ""Djamaâ el Kebir"", ""Sultan Ahmed Mosque"", ""Esma Sultan (daughter of Abdul Hamid I)"", ""Esma Sultan (daughter of Ahmed III)"", ""Gevheri Kadın"", ""Esma Sultan (daughter of Abdülaziz)"", ""Esma Sultan"", ""Küçük Hüseyin Pasha""]","[""Laleli Mosque"", ""Esma Sultan Mansion""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134048,""id"":""chatcmpl-7058e3f5-2cac-402a-b795-c8d83"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":15,""prompt_tokens"":5384,""total_tokens"":5399}}",True,stop,"{""completion_tokens"": 15, ""prompt_tokens"": 5384, ""total_tokens"": 5399}",,empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134048,""id"":""chatcmpl-7058e3f5-2cac-402a-b795-c8d83"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":15,""prompt_tokens"":5384,""total_tokens"":5399}}","{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134051,""id"":""chatcmpl-6ea8e63e-27cf-4c22-a6a2-f0691"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":8,""prompt_tokens"":5537,""total_tokens"":5545}}",True,stop,"{""completion_tokens"": 8, ""prompt_tokens"": 5537, ""total_tokens"": 5545}",,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/004_5adbf0a255429947ff17385a,10
5,5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","[""Greenwich Village, New York City""]","Greenwich Village, New York City",1,"[""Big Stone Gap (film)"", ""Adriana Trigiani"", ""Kingston Morning"", ""Clinton, Minnesota"", ""I Love NY (2015 film)"", ""Just Another Romantic Wrestling Comedy"", ""Nola (film)"", ""New York Society of Model Engineers"", ""Great Eastern Conventions"", ""Hamish and Andy's Gap Year""]","[""Big Stone Gap (film)"", ""Adriana Trigiani""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134055,""id"":""chatcmpl-6a890fb1-63a5-4cb4-9bca-b4f6c"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":9,""prompt_tokens"":5690,""total_tokens"":5699}}",True,stop,"{""completion_tokens"": 9, ""prompt_tokens"": 5690, ""total_tokens"": 5699}",,evidence_fallback,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134055,""id"":""chatcmpl-6a890fb1-63a5-4cb4-9bca-b4f6c"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":9,""prompt_tokens"":5690,""total_tokens"":5699}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/005_5a8e3ea95542995a26add48d,10
6,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"[""YG Entertainment""]",,0,"[""2014 S/S"", ""Madtown"", ""Winner (band)"", ""SF9 (band)"", ""BTS discography"", ""List of awards and nominations received by Shinee"", ""History (band)"", ""List of songs written by Ravi"", ""Seventeen discography"", ""Cho Kyuhyun""]","[""2014 S/S"", ""Winner (band)""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134057,""id"":""chatcmpl-705fe232-9a61-4c8d-b03d-1df8c"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5706,""total_tokens"":5716}}",True,stop,"{""completion_tokens"": 10, ""prompt_tokens"": 5706, ""total_tokens"": 5716}",,empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134057,""id"":""chatcmpl-705fe232-9a61-4c8d-b03d-1df8c"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5706,""total_tokens"":5716}}","{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134061,""id"":""chatcmpl-3ba2ed3b-5df6-426e-a292-f1038"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":10,""prompt_tokens"":5717,""total_tokens"":5727}}",True,stop,"{""completion_tokens"": 10, ""prompt_tokens"": 5717, ""total_tokens"": 5727}",,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/006_5abd94525542992ac4f382d2,10
7,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"[""Eenasul Fateh""]",,0,"[""Management consulting"", ""Lil Ru"", ""Eenasul Fateh"", ""ELDee"", ""Amaruk Kayshapanta"", ""James P. Comer"", ""Method Man"", ""Mick (DJ)"", ""Indriati Iskak"", ""Criss Angel""]","[""Eenasul Fateh"", ""Management consulting""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134064,""id"":""chatcmpl-41905658-d774-4b68-a3c1-08aa2"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":6183,""total_tokens"":6195}}",True,stop,"{""completion_tokens"": 12, ""prompt_tokens"": 6183, ""total_tokens"": 6195}",,empty,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134064,""id"":""chatcmpl-41905658-d774-4b68-a3c1-08aa2"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":6183,""total_tokens"":6195}}","{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134067,""id"":""chatcmpl-1d4b4d00-7035-44f3-9a23-75dd4"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":5735,""total_tokens"":5747}}",True,stop,"{""completion_tokens"": 12, ""prompt_tokens"": 5735, ""total_tokens"": 5747}",,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/007_5a85b2d95542997b5ce40028,10
8,5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"[""3,677 seated""]","1,400",0,"[""Dwyer Arena"", ""Loan modification in the United States"", ""Billings Bulls"", ""2006–07 QMJHL season"", ""2011–12 QMJHL season"", ""Case Gym"", ""Lewiston Maineiacs"", ""2007 Memorial Cup"", ""Robins Center"", ""Androscoggin Bank Colisée""]","[""Lewiston Maineiacs"", ""Androscoggin Bank Colisée""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134071,""id"":""chatcmpl-aebf2dd8-467c-4f5c-8c43-c15c9"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":7258,""total_tokens"":7270}}",True,stop,"{""completion_tokens"": 12, ""prompt_tokens"": 7258, ""total_tokens"": 7270}",,evidence_fallback,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134071,""id"":""chatcmpl-aebf2dd8-467c-4f5c-8c43-c15c9"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":7258,""total_tokens"":7270}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/008_5a87ab905542996e4f3088c1,10
9,5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?","[""Terry Richardson""]",Annie Morton,0,"[""Annie Morton"", ""Gumbo (PJ Morton album)"", ""Kenton Richardson"", ""Terry Richardson"", ""Madonna (book)"", ""Amanda Lepore"", ""Index Magazine"", ""Lady Gaga x Terry Richardson"", ""Snoecks"", ""Piano Girl""]","[""Annie Morton"", ""Terry Richardson""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134077,""id"":""chatcmpl-2ebbd6fa-6ee2-4d51-944f-5a5cb"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":5679,""total_tokens"":5691}}",True,stop,"{""completion_tokens"": 12, ""prompt_tokens"": 5679, ""total_tokens"": 5691}",,evidence_fallback,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134077,""id"":""chatcmpl-2ebbd6fa-6ee2-4d51-944f-5a5cb"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":12,""prompt_tokens"":5679,""total_tokens"":5691}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/009_5a7bbb64554299042af8f7cc,10
10,5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,"[""yes""]",Yes,1,"[""For Against"", ""Suffrajett"", ""Amherst, Massachusetts"", ""Ophur"", ""William H. Cook Water Tank House"", ""Mendocino County GMO Ban"", ""United States Senate election in Illinois, 1978"", ""Wilford H. Fawcett House"", ""Local H"", ""Hallelujah! I'm a Bum (album)""]","[""Local H"", ""For Against""]",10,0,single_step_rag,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134080,""id"":""chatcmpl-663d0139-f87b-422f-a929-f579c"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":8,""prompt_tokens"":5707,""total_tokens"":5715}}",True,stop,"{""completion_tokens"": 8, ""prompt_tokens"": 5707, ""total_tokens"": 5715}",,evidence_fallback,"{""choices"":[{""finish_reason"":""stop"",""index"":0,""message"":{""content"":null,""role"":""assistant""}}],""created"":1777134080,""id"":""chatcmpl-663d0139-f87b-422f-a929-f579c"",""model"":""gpt-5.4"",""object"":""chat.completion"",""usage"":{""completion_tokens"":8,""prompt_tokens"":5707,""total_tokens"":5715}}",,False,,{},,outputs/hotpot_sparse_rag_api_20260425_162023_sparse_rag_gpt-5.4_tok1200_n15/runs/010_5a8db19d5542994ba4e3dd00,10
